Time(hh:mm:ss)	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12		
00:00	0.1391	0.1667	0.1636	0.149	0.1471	0.1395	0.1472	0.1415	0.139	0.141	0.1421	0.1494	0.1726	0.1607	0.1413	0.1479	0.141	0.136	0.1417	0.1454	0.1563	0.1384	0.1392	0.1559	0.1374	0.1384	0.1571	0.1601	0.1389	0.1568	0.1536	0.1384	0.1362	0.1372	0.1382	0.14	0.1355	0.139	0.1375	0.1403	0.1378	0.1371	0.1375	0.1416	0.1357	0.1545	0.1369	0.1504	0.1513	0.1588	0.1363	0.1396	0.145	0.1385	0.1548	0.151	0.1415	0.1381	0.1347	0.1403	0.1447	0.162	0.1516	0.1456	0.1392	0.1402	0.1454	0.1399	0.138	0.1379	0.138	0.1398	0.1549	0.1455	0.1464	0.1402	0.1407	0.156	0.1413	0.1522	0.139	0.1489	0.1403	0.1405	0.1429	0.17	0.1439	0.1587	0.1437	0.1419	0.1813	0.1461	0.1414	0.142	0.1409	0.1451		
00:12	0.1386	0.1777	0.1747	0.1505	0.1486	0.1391	0.153	0.1423	0.1389	0.1408	0.142	0.1547	0.1883	0.1706	0.1425	0.1516	0.1396	0.1352	0.1452	0.1478	0.1672	0.138	0.1385	0.1664	0.137	0.1379	0.16	0.1688	0.1384	0.1658	0.1634	0.1381	0.1355	0.1374	0.1381	0.1399	0.1352	0.1386	0.1381	0.1404	0.1368	0.1374	0.1355	0.1412	0.1359	0.1647	0.1365	0.1561	0.1568	0.1669	0.1357	0.1389	0.1469	0.138	0.1655	0.1564	0.1437	0.1377	0.1344	0.1399	0.1449	0.1719	0.1574	0.1462	0.1392	0.1415	0.1488	0.1398	0.1377	0.1369	0.1375	0.1401	0.1612	0.147	0.1497	0.1396	0.1401	0.1645	0.1408	0.1567	0.1387	0.1545	0.1399	0.1405	0.1425	0.1796	0.1448	0.1647	0.1438	0.1415	0.2091	0.1461	0.1411	0.1412	0.1415	0.1452		
00:24	0.138	0.1886	0.1856	0.1524	0.1508	0.1383	0.1592	0.1429	0.1394	0.1407	0.1414	0.1591	0.2031	0.18	0.144	0.1555	0.1398	0.1345	0.1491	0.15	0.178	0.1375	0.1382	0.176	0.1365	0.1378	0.1628	0.1782	0.1383	0.1747	0.1732	0.1377	0.1354	0.1376	0.1382	0.1396	0.1351	0.1386	0.1378	0.1404	0.1367	0.1372	0.1354	0.1406	0.1351	0.1745	0.136	0.1612	0.1623	0.1754	0.1355	0.139	0.1493	0.1377	0.1762	0.1618	0.1458	0.1378	0.1342	0.1394	0.1459	0.182	0.1633	0.1477	0.1396	0.1424	0.1526	0.1395	0.1375	0.1365	0.1366	0.1402	0.1675	0.1491	0.1537	0.1397	0.1402	0.1728	0.1409	0.1594	0.1389	0.1603	0.1396	0.1403	0.1424	0.1898	0.1455	0.1716	0.1446	0.1411	0.2253	0.1455	0.1409	0.1412	0.1416	0.1443		
00:36	0.1523	0.1989	0.1964	0.1541	0.1522	0.1384	0.1656	0.1441	0.1394	0.1414	0.1414	0.1652	0.2176	0.1896	0.1446	0.1595	0.1387	0.1342	0.1528	0.1523	0.1885	0.1374	0.1381	0.1863	0.1363	0.1377	0.1654	0.186	0.1378	0.1838	0.1828	0.1375	0.1357	0.138	0.1386	0.1395	0.1349	0.1385	0.1376	0.1407	0.1361	0.137	0.136	0.1418	0.1349	0.185	0.1359	0.1672	0.1683	0.1837	0.1352	0.1384	0.1521	0.1376	0.1867	0.1674	0.1479	0.1375	0.134	0.1394	0.1471	0.1916	0.1694	0.149	0.1397	0.1435	0.1567	0.1395	0.1372	0.1363	0.1366	0.1405	0.1735	0.1511	0.1575	0.1393	0.1398	0.181	0.1407	0.1629	0.1389	0.1663	0.1396	0.1405	0.1421	0.2002	0.1468	0.1779	0.1451	0.1411	0.2446	0.1455	0.1409	0.1411	0.1423	0.1447		
00:48	0.1504	0.2089	0.2072	0.1562	0.154	0.1385	0.172	0.1446	0.14	0.1421	0.1413	0.1697	0.2319	0.1986	0.1459	0.1636	0.1384	0.1341	0.1567	0.1548	0.199	0.1377	0.1381	0.196	0.1362	0.1373	0.1675	0.1944	0.1377	0.1929	0.1921	0.1375	0.1354	0.1387	0.1389	0.1395	0.1351	0.1383	0.1374	0.1411	0.1356	0.1367	0.1355	0.1421	0.1348	0.1945	0.1367	0.1724	0.1744	0.1924	0.1351	0.1384	0.1535	0.1376	0.1968	0.1732	0.1502	0.1372	0.1339	0.1398	0.1485	0.2015	0.1758	0.1503	0.1399	0.1445	0.1609	0.1396	0.1367	0.1362	0.1371	0.1403	0.1799	0.1531	0.1615	0.1394	0.1396	0.1894	0.1407	0.1657	0.1395	0.1724	0.1396	0.1404	0.1422	0.2108	0.1478	0.1841	0.1459	0.1408	0.262	0.1453	0.1409	0.1417	0.1448	0.1446		
01:00	0.1471	0.2187	0.2176	0.1581	0.1568	0.1383	0.1783	0.1454	0.1402	0.1421	0.1417	0.1743	0.2449	0.2076	0.1468	0.1674	0.1386	0.1338	0.1602	0.1571	0.2087	0.137	0.1385	0.2044	0.136	0.1373	0.1701	0.2023	0.1378	0.2006	0.2012	0.1375	0.1352	0.1388	0.1394	0.1393	0.1348	0.1383	0.1377	0.1415	0.1355	0.1364	0.1354	0.1425	0.1344	0.2039	0.1358	0.1773	0.1799	0.201	0.1349	0.1383	0.1573	0.1376	0.2069	0.179	0.1526	0.1371	0.1338	0.1402	0.1502	0.2109	0.182	0.1517	0.1405	0.1456	0.1648	0.1395	0.1365	0.1364	0.1371	0.1404	0.1857	0.1552	0.1653	0.1394	0.1399	0.1979	0.1404	0.1688	0.1392	0.1778	0.1397	0.1405	0.142	0.2212	0.1492	0.1898	0.1461	0.1407	0.2776	0.1455	0.1405	0.1415	0.1432	0.1443		
01:12	0.1473	0.2282	0.2279	0.1599	0.1581	0.1382	0.1853	0.1464	0.1411	0.1422	0.1416	0.1794	0.258	0.2162	0.1482	0.1715	0.1381	0.1336	0.164	0.1596	0.2188	0.1373	0.1388	0.2139	0.136	0.1372	0.172	0.2099	0.1375	0.2085	0.2103	0.1372	0.1353	0.1392	0.1397	0.1393	0.1349	0.1382	0.1376	0.1419	0.1356	0.136	0.1353	0.1432	0.1342	0.213	0.1355	0.1826	0.1856	0.2091	0.1348	0.1382	0.1585	0.1382	0.2164	0.1847	0.1546	0.1369	0.1338	0.1389	0.1517	0.2202	0.1879	0.153	0.1401	0.1465	0.1689	0.1393	0.1365	0.1359	0.1367	0.1403	0.1921	0.1571	0.1693	0.1392	0.1394	0.205	0.1404	0.1718	0.1395	0.1833	0.1392	0.1408	0.1422	0.2311	0.1505	0.1955	0.1459	0.1404	0.293	0.1455	0.141	0.1415	0.1573	0.1442		
01:24	0.1419	0.238	0.2379	0.162	0.1603	0.1384	0.1921	0.1473	0.1418	0.1432	0.1413	0.1846	0.2709	0.2251	0.1492	0.1756	0.138	0.1338	0.1685	0.162	0.2285	0.1371	0.1392	0.2229	0.136	0.1373	0.1747	0.2176	0.1376	0.2165	0.2193	0.1372	0.1356	0.14	0.14	0.1397	0.1348	0.1383	0.1379	0.1427	0.1355	0.1361	0.1353	0.1446	0.1343	0.2222	0.1352	0.1883	0.1913	0.2174	0.1349	0.1382	0.1606	0.1375	0.2261	0.1906	0.1569	0.1369	0.1339	0.1387	0.1532	0.2292	0.1942	0.1547	0.1403	0.1479	0.1731	0.1392	0.1368	0.1359	0.1364	0.1407	0.1977	0.1606	0.1733	0.1393	0.1397	0.2128	0.1405	0.1753	0.14	0.1893	0.1392	0.1412	0.1423	0.2409	0.1518	0.2018	0.1464	0.1406	0.3077	0.1456	0.1413	0.1421	0.1463	0.1445		
01:36	0.1377	0.2472	0.2478	0.1638	0.1622	0.138	0.1986	0.1483	0.1429	0.1435	0.1418	0.1895	0.2838	0.2335	0.1508	0.1795	0.138	0.1337	0.1721	0.1647	0.2379	0.1369	0.14	0.2319	0.1359	0.1371	0.1764	0.2248	0.1374	0.2244	0.2278	0.1373	0.1356	0.1404	0.1404	0.1392	0.1349	0.1386	0.138	0.1431	0.1355	0.1362	0.1354	0.1448	0.1343	0.2311	0.1351	0.1931	0.197	0.2252	0.1348	0.1381	0.163	0.1374	0.2355	0.1966	0.159	0.137	0.1338	0.1419	0.1548	0.2381	0.2001	0.1558	0.1405	0.1488	0.1771	0.1391	0.1369	0.136	0.1368	0.1411	0.2035	0.1616	0.1774	0.1392	0.1394	0.2205	0.1401	0.1782	0.1402	0.1949	0.1392	0.1415	0.1421	0.2504	0.1533	0.2078	0.1466	0.1406	0.3216	0.1456	0.1413	0.1422	0.1471	0.1444		
01:48	0.1375	0.2563	0.2577	0.1659	0.1644	0.1384	0.2054	0.1494	0.1428	0.1439	0.1421	0.1947	0.2957	0.2419	0.152	0.1838	0.1381	0.1342	0.1756	0.1673	0.2467	0.1369	0.1406	0.241	0.1358	0.1372	0.1792	0.2319	0.1386	0.2322	0.2365	0.1372	0.1356	0.1409	0.141	0.1397	0.1349	0.1385	0.1381	0.1435	0.1352	0.1365	0.1353	0.1457	0.1341	0.2397	0.1351	0.1981	0.2023	0.2328	0.1347	0.138	0.1649	0.1376	0.2448	0.2024	0.1612	0.137	0.1339	0.1386	0.1563	0.2468	0.2061	0.1573	0.1409	0.15	0.1813	0.1392	0.1367	0.1361	0.1367	0.1415	0.2091	0.1638	0.1813	0.1391	0.1396	0.2279	0.14	0.1814	0.1403	0.2002	0.1392	0.142	0.1421	0.2598	0.155	0.2137	0.1476	0.1408	0.3355	0.1458	0.1409	0.1423	0.1481	0.1448		
